Frame,Elapsed Time (s),Area (%),Kondisi
82,0.2809150218963623,20.94,tidak ramai
83,0.2797091007232666,20.91,tidak ramai
84,0.3008859157562256,21.05,tidak ramai
85,0.30527400970458984,21.39,tidak ramai
86,0.3031020164489746,21.56,tidak ramai
87,0.31191086769104004,21.91,tidak ramai
88,0.38841891288757324,22.03,tidak ramai
89,0.28794384002685547,22.31,tidak ramai
90,0.2760622501373291,22.58,tidak ramai
91,0.28243589401245117,22.78,tidak ramai
92,0.27766895294189453,22.89,tidak ramai
93,0.30179286003112793,22.99,tidak ramai
94,0.27645325660705566,23.33,tidak ramai
95,0.2780129909515381,23.51,tidak ramai
96,0.28710460662841797,23.61,tidak ramai
97,0.27894115447998047,23.71,tidak ramai
98,0.286578893661499,24.14,tidak ramai
99,0.2854480743408203,24.42,tidak ramai
100,0.29755282402038574,24.54,tidak ramai
101,0.2880558967590332,24.71,tidak ramai
102,0.282576322555542,24.57,tidak ramai
103,0.2852051258087158,25.1,tidak ramai
104,0.28310680389404297,25.12,tidak ramai
105,0.2883591651916504,25.66,tidak ramai
106,0.28359389305114746,25.71,tidak ramai
107,0.38893628120422363,25.51,tidak ramai
108,0.3070499897003174,25.84,tidak ramai
109,0.28636884689331055,25.91,tidak ramai
110,0.28196191787719727,26.37,tidak ramai
111,0.2960953712463379,26.84,tidak ramai
112,0.3091292381286621,27.28,tidak ramai
113,0.29298996925354004,27.48,tidak ramai
114,0.29102087020874023,27.89,tidak ramai
115,0.29161691665649414,28.44,tidak ramai
116,0.2783229351043701,28.76,tidak ramai
117,0.4175839424133301,29.28,tidak ramai
118,0.39134907722473145,29.72,tidak ramai
119,0.28522777557373047,29.97,tidak ramai
120,0.28101277351379395,30.44,ramai
121,0.2816951274871826,30.75,ramai
122,0.28302597999572754,31.11,ramai
123,0.37971019744873047,31.72,ramai
124,0.2984809875488281,32.03,ramai
125,0.30003809928894043,32.6,ramai
126,0.28175902366638184,33.25,ramai
127,0.2843017578125,33.45,ramai
128,0.28050994873046875,33.75,ramai
129,0.2841639518737793,34.23,ramai
130,0.3021979331970215,34.55,ramai
131,0.28778910636901855,34.9,ramai
132,0.3048830032348633,35.25,ramai
133,0.29645228385925293,35.48,ramai
134,0.27885913848876953,35.64,ramai
135,0.2792389392852783,35.94,ramai
136,0.3052549362182617,35.9,ramai
137,0.3448019027709961,35.74,ramai
138,0.38791918754577637,35.9,ramai
139,0.3232698440551758,35.81,ramai
140,0.37779688835144043,35.72,ramai
141,0.28519773483276367,35.71,ramai
142,0.3087129592895508,35.7,ramai
143,0.30475497245788574,35.92,ramai
144,0.28485679626464844,36.08,ramai
145,0.3120090961456299,36.33,ramai
146,0.2880411148071289,36.69,ramai
147,0.28681397438049316,36.39,ramai
148,0.28409504890441895,36.51,ramai
149,0.3036971092224121,36.26,ramai
150,0.28711891174316406,36.25,ramai
151,0.27837228775024414,36.02,ramai
152,0.27916574478149414,35.64,ramai
153,0.37696290016174316,35.18,ramai
154,0.28404879570007324,35.01,ramai
155,0.2965247631072998,34.53,ramai
156,0.29153990745544434,34.4,ramai
